2010/06/23,ETom,CME8.0 Prep,7.5
2010/06/24,ETom,Others,1
2010/06/24,ETom,CME8.0 Prep,7.5
2010/06/25,ETom,Others,1
2010/06/25,ETom,CME8.0 Prep,7
2010/06/28,ETom,Others,1
2010/06/28,ETom,CME8.0 Setup,8
2010/06/29,ETom,Others,1
2010/06/29,ETom,CME8.0 Setup,8.5
2010/06/30,ETom,Others,1
2010/06/30,ETom,CME8.0 Setup,9
2010/07/01,ETom,Meeting,1
2010/07/01,ETom,Others,1
2010/07/01,ETom,CME8.0 Setup,6.5
2010/07/02,ETom,Others,1
2010/07/02,ETom,CME8.0 Setup,8.5
2010/07/05,ETom,Meeting,0.5
2010/07/05,ETom,Others,1
2010/07/05,ETom,CME8.0 Setup,8.5
2010/07/06,ETom,Others,0.5
2010/07/06,ETom,CME8.0 Setup,8
2010/07/07,ETom,Others,1
2010/07/07,ETom,CME8.0 BAT,7.5
2010/07/08,ETom,Meeting,1
2010/07/08,ETom,Others,1
2010/07/08,ETom,CME8.0 BAT,4
2010/07/08,ETom,CME8.0 Report,3
2010/07/09,ETom,Meeting,1
2010/07/09,ETom,Others,1
2010/07/09,ETom,CME8.0 Report,3
2010/07/09,ETom,AnyConnect2.5-2 Prep,2
2010/07/12,ETom,Meeting,0.5
2010/07/12,ETom,Others,1
2010/07/12,ETom,CME8.0 Report,2.5
2010/07/12,ETom,AnyConnect2.5-2 Prep,4
2010/07/13,ETom,Others,1
2010/07/13,ETom,CME8.0 Report,2
2010/07/13,ETom,AnyConnect2.5-2 Prep,7
2010/07/14,ETom,Meeting,1
2010/07/14,ETom,Others,1
2010/07/14,ETom,AnyConnect2.5-2 Prep,6.5
2010/07/15,ETom,Meeting,1
2010/07/15,ETom,Others,1
2010/07/15,ETom,AnyConnect2.5-2 Prep,6.5
2010/07/16,ETom,Meeting,1
2010/07/16,ETom,Others,1
2010/07/16,ETom,AnyConnect2.5-2 Prep,6.5
2010/07/20,ETom,Meeting,0.5
2010/07/20,ETom,Others,1
2010/07/20,ETom,AnyConnect2.5-2 Prep,6.5
2010/07/21,ETom,Others,1
2010/07/21,ETom,AnyConnect2.5-2 BAT,9.5
2010/07/22,ETom,Meeting,1
2010/07/22,ETom,Others,1
2010/07/22,ETom,AnyConnect2.5-2 BAT,7.5
2010/07/23,ETom,Meeting,1
2010/07/23,ETom,Others,1
2010/07/23,ETom,AnyConnect2.5-2 BAT,3
2010/07/23,ETom,AnyConnect2.5-2 Report,3.5
2010/07/27,ETom,Meeting,1
2010/07/27,ETom,Others,1
2010/07/27,ETom,AnyConnect2.5-2 Report,7
2010/07/28,ETom,Meeting,4
2010/07/28,ETom,Others,1
2010/07/28,ETom,AnyConnect2.5-2 Report,3
2010/07/29,ETom,Meeting,1
2010/07/29,ETom,Others,1
2010/07/29,ETom,AnyConnect2.5-2 Report,2
2010/07/30,ETom,Meeting,1
2010/07/30,ETom,Others,1
2010/07/30,ETom,AnyConnect2.5-2 Report,7
2010/08/02,ETom,Meeting,0.5
2010/08/02,ETom,Others,1
